lluvias_id,fecha,lectura_de_lluvia
1,2023-01-02,0.88
2,2023-01-04,0.13
3,2023-01-09,1.5
4,2023-01-11,0.63
5,2023-01-13,0.13
6,2023-01-26,0.13
7,2023-01-27,0.13
8,2023-02-14,0.13
9,2023-02-15,0.25
10,2023-02-16,0.25
11,2023-02-17,0.25
12,2023-03-20,0.06
13,2023-03-21,0.38
14,2023-04-05,0.13
15,2023-04-08,0.88
16,2023-04-10,0.5
17,2023-04-17,2
18,2023-04-18,0.94
19,2023-05-09,4.25
20,2023-05-10,0.13
21,2023-05-11,0.06
22,2023-05-13,0.38
23,2023-05-15,0.5
24,2023-05-18,1.63
25,2023-05-19,0.63
26,2023-05-20,1.63
27,2023-05-22,1.75
28,2023-05-26,0.56
29,2023-05-27,0.25
30,2023-05-28,1.5
31,2023-05-29,1.63
32,2023-05-31,0.13
33,2023-06-10,0.5
34,2023-06-13,0.38
35,2023-06-14,0.88
36,2023-06-17,4.25
37,2023-06-19,0.06
38,2023-06-19,0.81
39,2023-06-20,0.88
40,2023-06-21,0.5
41,2023-06-22,0.06
42,2023-06-24,0.75
43,2023-06-26,0.13
44,2023-06-29,2.5
45,2023-07-03,0.38
46,2023-07-04,0.13
47,2023-07-10,0.94
48,2023-07-24,0.38
49,2023-07-25,1
50,2023-07-26,0.5
51,2023-07-27,0.25
52,2023-07-29,0.94
53,2023-08-01,1.63
54,2023-08-02,0.88
55,2023-08-06,1.5
56,2023-08-07,0.44
57,2023-08-08,0.25
58,2023-08-12,0.56
59,2023-08-17,1.25
60,2023-08-26,1.44
61,2023-08-30,0.75
62,2023-08-31,0.38
63,2023-09-01,1
64,2023-09-03,0.69
65,2023-09-08,1
66,2023-09-11,0.03
67,2023-09-12,0.13
68,2023-09-13,0.25
69,2023-09-14,0.5
70,2023-09-20,0.63
71,2023-09-22,2.13
72,2023-09-23,1
73,2023-09-25,1.38
74,2023-09-26,0.25
75,2023-10-04,0.25
76,2023-10-10,0.5
77,2023-10-13,0.75
78,2023-10-18,0.25
79,2023-10-19,1.5
80,2023-10-21,1
81,2023-10-27,0.25
82,2023-10-29,2.5
83,2023-10-27,0.25
84,2023-10-30,0.13
85,2023-10-31,0.63
86,2023-11-02,0.38
87,2023-11-03,0.13
88,2023-11-06,0.5
89,2023-11-08,1.75
90,2023-11-09,0.38
91,2023-11-22,0.75
92,2023-11-25,0.38
